Ojibwe,English,Words w/ Ambiguity,Pre-disambiguation CG Output,Expected CG Output,Notes
Indaga dawinamaw 'iw desa'on aw niningwan. Mii imaa ge-izhi-bagidoomaad iniw waawaashkeshiwan.,Please clear off the platform for my son-in-law to set down the deer he's bring in on his back.,"""<niningwan>""
	""ningwano"" VAI Ind Pos Neu 1SgSubj
	""ningwan"" NAD ProxSg 1SgPoss
""<waawaashkeshiwan>""
	""waawaashkeshi"" NA ObvPl
	""waawaashkeshi"" NA ObvSg","""<indaga>""
	""indaga"" PCDisc
""<dawinamaw>""

""<'iw>""

""<desa'on>""
	""desa'on"" NI Sg
""<aw>""
	""aw"" PRONDem
""<niningwan>""
	""ningwano"" VAI Ind Pos Neu 1SgSubj
	""ningwan"" NAD ProxSg 1SgPoss
""<.>""

""<mii>""
	""mii"" ADVPred
""<imaa>""
	""imaa"" ADVLoc
""<ge-izhi-bagidoomaad>""

""<iniw>""
	""iniw"" PRONDem
""<waawaashkeshiwan>""
	""waawaashkeshi"" NA ObvPl
	""waawaashkeshi"" NA ObvSg
""<.>""
","""<indaga>""
	""indaga"" PCDisc
""<dawinamaw>""

""<'iw>""

""<desa'on>""
	""desa'on"" NI Sg
""<aw>""
	""aw"" PRONDem
""<niningwan>""
	""ningwano"" VAI Ind Pos Neu 1SgSubj
	""ningwan"" NAD ProxSg 1SgPoss
""<.>""

""<mii>""
	""mii"" ADVPred
""<imaa>""
	""imaa"" ADVLoc
""<ge-izhi-bagidoomaad>""

""<iniw>""
	""iniw"" PRONDem
""<waawaashkeshiwan>""
	""waawaashkeshi"" NA ObvPl
	""waawaashkeshi"" NA ObvSg
""<.>""
",
Odazhiikawaan iniw waawaashkeshiwan gaa-paashkizwaad.,He's working on the deer he shot.,"""<odazhiikawaan>""
	""dazhiikaw"" VTA Ind Pos Neu 3SgProxSubj 3SgObvObj
	""dazhiikaw"" VTA Ind Pos Neu 3SgProxSubj 3PlObvObj
""<waawaashkeshiwan>""
	""waawaashkeshi"" NA ObvPl
	""waawaashkeshi"" NA ObvSg","""<odazhiikawaan>""
	""dazhiikaw"" VTA Ind Pos Neu 3SgProxSubj 3SgObvObj
	""dazhiikaw"" VTA Ind Pos Neu 3SgProxSubj 3PlObvObj
""<iniw>""
	""iniw"" PRONDem
""<waawaashkeshiwan>""
	""waawaashkeshi"" NA ObvPl
	""waawaashkeshi"" NA ObvSg
""<gaa-paashkizwaad>""

""<.>""
","""<odazhiikawaan>""
	""dazhiikaw"" VTA Ind Pos Neu 3SgProxSubj 3SgObvObj
	""dazhiikaw"" VTA Ind Pos Neu 3SgProxSubj 3PlObvObj
""<iniw>""
	""iniw"" PRONDem
""<waawaashkeshiwan>""
	""waawaashkeshi"" NA ObvPl
	""waawaashkeshi"" NA ObvSg
""<gaa-paashkizwaad>""

""<.>""
",
Onandawaabamaan iniw gaa-maakinawaad waawaashkeshiwan.,He's looking for the deer he wounded.,"""<onandawaabamaan>""
	""andawaabam"" VTA Ind Pos Neu 3SgProxSubj 3SgObvObj
	""nandawaabam"" VTA Ind Pos Neu 3SgProxSubj 3SgObvObj
	""andawaabam"" VTA Ind Pos Neu 3SgProxSubj 3PlObvObj
	""nandawaabam"" VTA Ind Pos Neu 3SgProxSubj 3PlObvObj
""<gaa-maakinawaad>""
	""maakinaw"" PVSub/gaa VTA Cnj Pos Neu 3SgProxSubj 3SgObvObj
	""maakinaw"" PVSub/gaa VTA Cnj Pos Neu 3SgProxSubj 3PlObvObj
""<waawaashkeshiwan>""
	""waawaashkeshi"" NA ObvPl
	""waawaashkeshi"" NA ObvSg","""<onandawaabamaan>""
	""andawaabam"" VTA Ind Pos Neu 3SgProxSubj 3SgObvObj
	""nandawaabam"" VTA Ind Pos Neu 3SgProxSubj 3SgObvObj
	""andawaabam"" VTA Ind Pos Neu 3SgProxSubj 3PlObvObj
	""nandawaabam"" VTA Ind Pos Neu 3SgProxSubj 3PlObvObj
""<iniw>""
	""iniw"" PRONDem
""<gaa-maakinawaad>""
	""maakinaw"" PVSub/gaa VTA Cnj Pos Neu 3SgProxSubj 3SgObvObj
	""maakinaw"" PVSub/gaa VTA Cnj Pos Neu 3SgProxSubj 3PlObvObj
""<waawaashkeshiwan>""
	""waawaashkeshi"" NA ObvPl
	""waawaashkeshi"" NA ObvSg
""<.>""
","""<onandawaabamaan>""
	""andawaabam"" VTA Ind Pos Neu 3SgProxSubj 3SgObvObj
	""nandawaabam"" VTA Ind Pos Neu 3SgProxSubj 3SgObvObj
	""andawaabam"" VTA Ind Pos Neu 3SgProxSubj 3PlObvObj
	""nandawaabam"" VTA Ind Pos Neu 3SgProxSubj 3PlObvObj
""<iniw>""
	""iniw"" PRONDem
""<gaa-maakinawaad>""
	""maakinaw"" PVSub/gaa VTA Cnj Pos Neu 3SgProxSubj 3SgObvObj
	""maakinaw"" PVSub/gaa VTA Cnj Pos Neu 3SgProxSubj 3PlObvObj
""<waawaashkeshiwan>""
	""waawaashkeshi"" NA ObvPl
	""waawaashkeshi"" NA ObvSg
""<.>""
",
Gaawiin geyaabi ogashki'aasiin ji-bimibizo'aad odaabaanan; onzaam gaawiin zaabaabisii.,He's not able to drive a car anymore because he can't see very well.,"""<ogashki'aasiin>""
	""gashki'"" VTA Ind Neg Neu 3SgProxSubj 3PlObvObj
	""gashki'"" VTA Ind Neg Neu 3SgProxSubj 3SgObvObj
""<ji-bimibizo'aad>""
	""bimibizo'"" PVTense/daa VTA Cnj Pos Neu 3SgProxSubj 3SgObvObj
	""bimibizo'"" PVTense/ga VTA Cnj Pos Neu 3SgProxSubj 3SgObvObj
	""bimibizo'"" PVTense/daa VTA Cnj Pos Neu 3SgProxSubj 3PlObvObj
	""bimibizo'"" PVTense/ga VTA Cnj Pos Neu 3SgProxSubj 3PlObvObj","""<gaawiin>""
	""gaawiin"" ADVNeg
""<geyaabi>""
	""geyaabi"" ADVTmp
""<ogashki'aasiin>""
	""gashki'"" VTA Ind Neg Neu 3SgProxSubj 3PlObvObj
	""gashki'"" VTA Ind Neg Neu 3SgProxSubj 3SgObvObj
""<ji-bimibizo'aad>""
	""bimibizo'"" PVTense/daa VTA Cnj Pos Neu 3SgProxSubj 3SgObvObj
	""bimibizo'"" PVTense/ga VTA Cnj Pos Neu 3SgProxSubj 3SgObvObj
	""bimibizo'"" PVTense/daa VTA Cnj Pos Neu 3SgProxSubj 3PlObvObj
	""bimibizo'"" PVTense/ga VTA Cnj Pos Neu 3SgProxSubj 3PlObvObj
""<odaabaanan;>""

""<onzaam>""
	""onzaam"" ADVQnt
""<gaawiin>""
	""gaawiin"" ADVNeg
""<zaabaabisii>""

""<.>""
","""<gaawiin>""
	""gaawiin"" ADVNeg
""<geyaabi>""
	""geyaabi"" ADVTmp
""<ogashki'aasiin>""
	""gashki'"" VTA Ind Neg Neu 3SgProxSubj 3PlObvObj
	""gashki'"" VTA Ind Neg Neu 3SgProxSubj 3SgObvObj
""<ji-bimibizo'aad>""
	""bimibizo'"" PVTense/daa VTA Cnj Pos Neu 3SgProxSubj 3SgObvObj
	""bimibizo'"" PVTense/ga VTA Cnj Pos Neu 3SgProxSubj 3SgObvObj
	""bimibizo'"" PVTense/daa VTA Cnj Pos Neu 3SgProxSubj 3PlObvObj
	""bimibizo'"" PVTense/ga VTA Cnj Pos Neu 3SgProxSubj 3PlObvObj
""<odaabaanan;>""

""<onzaam>""
	""onzaam"" ADVQnt
""<gaawiin>""
	""gaawiin"" ADVNeg
""<zaabaabisii>""

""<.>""
",
Babiiskijiitaa babaa-ayaad.,It wiggles up and down as it moves around.,"""<babaa-ayaad>""
	""babaa-ayaa"" VAI Cnj Pos Neu 3SgProxSubj
	""ayaa"" PVDir/babaa VAI Cnj Pos Neu 3SgProxSubj","""<babiiskijiitaa>""
	""babiiskijiitaa"" VAI Ind Pos Neu 3SgProxSubj
""<babaa-ayaad>""
	""babaa-ayaa"" VAI Cnj Pos Neu 3SgProxSubj
	""ayaa"" PVDir/babaa VAI Cnj Pos Neu 3SgProxSubj
""<.>""
","""<babiiskijiitaa>""
	""babiiskijiitaa"" VAI Ind Pos Neu 3SgProxSubj
""<babaa-ayaad>""
	""babaa-ayaa"" VAI Cnj Pos Neu 3SgProxSubj
	""ayaa"" PVDir/babaa VAI Cnj Pos Neu 3SgProxSubj
""<.>""
",
Gego bimibatwaadangen gibaashkizigan.,Don't run with your gun.,"""<bimibatwaadangen>""
	""bimibatwaadan"" VTI Imp Prb 2SgSubj 0PlObj
	""bimibatwaadan"" VTI Imp Prb 2SgSubj 0SgObj","""<gego>""
	""gego"" ADVNeg
""<bimibatwaadangen>""
	""bimibatwaadan"" VTI Imp Prb 2SgSubj 0PlObj
	""bimibatwaadan"" VTI Imp Prb 2SgSubj 0SgObj
""<gibaashkizigan>""
	""baashkizigan"" NI Sg 2SgPoss
""<.>""
","""<gego>""
	""gego"" ADVNeg
""<bimibatwaadangen>""
	""bimibatwaadan"" VTI Imp Prb 2SgSubj 0PlObj
	""bimibatwaadan"" VTI Imp Prb 2SgSubj 0SgObj
""<gibaashkizigan>""
	""baashkizigan"" NI Sg 2SgPoss
""<.>""
",
Waawaabiganoojiinyan naa oniimamaan a'a gaazhagenzhish,That old cat has got a mouse in her mouth.,"""<waawaabiganoojiinyan>""
	""waawaabiganoojiinh"" NA ObvPl
	""waawaabiganoojiinh"" NA ObvSg
""<oniimamaan>""
	""niimam"" VTA Ind Pos Neu 3SgProxSubj 3SgObvObj
	""niimam"" VTA Ind Pos Neu 3SgProxSubj 3PlObvObj","""<waawaabiganoojiinyan>""
	""waawaabiganoojiinh"" NA ObvPl
	""waawaabiganoojiinh"" NA ObvSg
""<naa>""
	""naa"" PCEmph
""<oniimamaan>""
	""niimam"" VTA Ind Pos Neu 3SgProxSubj 3SgObvObj
	""niimam"" VTA Ind Pos Neu 3SgProxSubj 3PlObvObj
""<a'a>""
	""a'a"" PRONDem
""<gaazhagenzhish>""
	""gaazhagens"" NA Pej ProxSg","""<waawaabiganoojiinyan>""
	""waawaabiganoojiinh"" NA ObvPl
	""waawaabiganoojiinh"" NA ObvSg
""<naa>""
	""naa"" PCEmph
""<oniimamaan>""
	""niimam"" VTA Ind Pos Neu 3SgProxSubj 3SgObvObj
	""niimam"" VTA Ind Pos Neu 3SgProxSubj 3PlObvObj
""<a'a>""
	""a'a"" PRONDem
""<gaazhagenzhish>""
	""gaazhagens"" NA Pej ProxSg",
Wiisakwemagad odaabaan bimibideg miikanaang.,The car screeches going by on the road.,"""<odaabaan>""
	""odaabaan"" NA ProxSg
	""odaabaan"" NI Sg
""<bimibideg>""
	""bimibide"" VII Cnj Pos Neu 0SgSubj
	""bimibide"" VII Cnj Pos Neu 0PlSubj","""<wiisakwemagad>""
	""wiisakwe"" VAI Der/magad VII Ind Pos Neu 0SgSubj
""<odaabaan>""
	""odaabaan"" NA ProxSg
	""odaabaan"" NI Sg
""<bimibideg>""
	""bimibide"" VII Cnj Pos Neu 0SgSubj
	""bimibide"" VII Cnj Pos Neu 0PlSubj
""<miikanaang>""
	""miikana"" NI Loc
""<.>""
","""<wiisakwemagad>""
	""wiisakwe"" VAI Der/magad VII Ind Pos Neu 0SgSubj
""<odaabaan>""
	""odaabaan"" NA ProxSg
	""odaabaan"" NI Sg
""<bimibideg>""
	""bimibide"" VII Cnj Pos Neu 0SgSubj
	""bimibide"" VII Cnj Pos Neu 0PlSubj
""<miikanaang>""
	""miikana"" NI Loc
""<.>""
",
Aazhawikana odanimiwinaan iniw maanishtaanishan.,He's taking the sheep across the road.,"""<odanimiwinaan>""
	""animiwizh"" VTA Ind Pos Neu 3SgProxSubj 3SgObvObj
	""animiwizh"" VTA Ind Pos Neu 3SgProxSubj 3PlObvObj
""<maanishtaanishan>""
	""maanishtaanish"" NA ObvPl
	""maanishtaanish"" NA ObvSg","""<aazhawikana>""
	""aazhawikana"" ADVLoc
""<odanimiwinaan>""
	""animiwizh"" VTA Ind Pos Neu 3SgProxSubj 3SgObvObj
	""animiwizh"" VTA Ind Pos Neu 3SgProxSubj 3PlObvObj
""<iniw>""
	""iniw"" PRONDem
""<maanishtaanishan>""
	""maanishtaanish"" NA ObvPl
	""maanishtaanish"" NA ObvSg
""<.>""
","""<aazhawikana>""
	""aazhawikana"" ADVLoc
""<odanimiwinaan>""
	""animiwizh"" VTA Ind Pos Neu 3SgProxSubj 3SgObvObj
	""animiwizh"" VTA Ind Pos Neu 3SgProxSubj 3PlObvObj
""<iniw>""
	""iniw"" PRONDem
""<maanishtaanishan>""
	""maanishtaanish"" NA ObvPl
	""maanishtaanish"" NA ObvSg
""<.>""
",
Mii iwidi aazhawikana gaa-inaagoned.,He trudged across the road through the snow.,"""<gaa-inaagoned>""
	""inaagone"" PVSub/gaa VAI Cnj Pos Neu 3SgProxSubj
	""inaagone"" PVTense/gii VAI Pcp Pos Neu 3SgProxSubj 3SgProxHead","""<mii>""
	""mii"" ADVPred
""<iwidi>""
	""iwidi"" ADVLoc
""<aazhawikana>""
	""aazhawikana"" ADVLoc
""<gaa-inaagoned>""
	""inaagone"" PVSub/gaa VAI Cnj Pos Neu 3SgProxSubj
	""inaagone"" PVTense/gii VAI Pcp Pos Neu 3SgProxSubj 3SgProxHead
""<.>""
","""<mii>""
	""mii"" ADVPred
""<iwidi>""
	""iwidi"" ADVLoc
""<aazhawikana>""
	""aazhawikana"" ADVLoc
""<gaa-inaagoned>""
	""inaagone"" PVSub/gaa VAI Cnj Pos Neu 3SgProxSubj
	""inaagone"" PVTense/gii VAI Pcp Pos Neu 3SgProxSubj 3SgProxHead
""<.>""
",
Diba'iganaatig omaa bimaakosidoon.,Lay the yardstick here.,"""<bimaakosidoon>""
	""bimaakosidoon"" VTI Imp Sim 2SgSubj 0SgObj
	""bimaakosidoon"" VTI Imp Sim 2SgSubj 0PlObj","""<diba'iganaatig>""

""<omaa>""
	""omaa"" ADVLoc
""<bimaakosidoon>""
	""bimaakosidoon"" VTI Imp Sim 2SgSubj 0SgObj
	""bimaakosidoon"" VTI Imp Sim 2SgSubj 0PlObj
""<.>""
","""<diba'iganaatig>""

""<omaa>""
	""omaa"" ADVLoc
""<bimaakosidoon>""
	""bimaakosidoon"" VTI Imp Sim 2SgSubj 0SgObj
	""bimaakosidoon"" VTI Imp Sim 2SgSubj 0PlObj
""<.>""
",
Gii-paakaakosin i'iw waasechigan gabe-dibik. Gii-piindigese a'aw obikwaanaajiinh.,The window was left open all night and the bat flew in.,"""<gabe-dibik>""
	""gabe-dibik"" ADVTmp
	""dibik"" PVLex/gabe ADVTmp
""<gii-piindigese>""
	""biindigese"" PVTense/gii VAI Ind Pos Neu 3SgProxSubj
	""biindigese"" PVTense/gii VII Ind Pos Neu 0SgSubj","""<gii-paakaakosin>""
	""baakaakosin"" PVTense/gii VII Ind Pos Neu 0SgSubj
""<i'iw>""
	""i'iw"" PRONDem
""<waasechigan>""
	""waasechigan"" NI Sg
""<gabe-dibik>""
	""gabe-dibik"" ADVTmp
	""dibik"" PVLex/gabe ADVTmp
""<.>""

""<gii-piindigese>""
	""biindigese"" PVTense/gii VAI Ind Pos Neu 3SgProxSubj
	""biindigese"" PVTense/gii VII Ind Pos Neu 0SgSubj
""<a'aw>""
	""a'aw"" PRONDem
""<obikwaanaajiinh>""

""<.>""
","""<gii-paakaakosin>""
	""baakaakosin"" PVTense/gii VII Ind Pos Neu 0SgSubj
""<i'iw>""
	""i'iw"" PRONDem
""<waasechigan>""
	""waasechigan"" NI Sg
""<gabe-dibik>""
	""gabe-dibik"" ADVTmp
	""dibik"" PVLex/gabe ADVTmp
""<.>""

""<gii-piindigese>""
	""biindigese"" PVTense/gii VAI Ind Pos Neu 3SgProxSubj
	""biindigese"" PVTense/gii VII Ind Pos Neu 0SgSubj
""<a'aw>""
	""a'aw"" PRONDem
""<obikwaanaajiinh>""

""<.>""
",
Baakibidoon waasechigan.,Pull the window open.,"""<baakibidoon>""
	""baakibidoon"" VTI Imp Sim 2SgSubj 0SgObj
	""baakibidoon"" VTI Imp Sim 2SgSubj 0PlObj","""<baakibidoon>""
	""baakibidoon"" VTI Imp Sim 2SgSubj 0SgObj
	""baakibidoon"" VTI Imp Sim 2SgSubj 0PlObj
""<waasechigan>""
	""waasechigan"" NI Sg
""<.>""
","""<baakibidoon>""
	""baakibidoon"" VTI Imp Sim 2SgSubj 0SgObj
	""baakibidoon"" VTI Imp Sim 2SgSubj 0PlObj
""<waasechigan>""
	""waasechigan"" NI Sg
""<.>""
",
Ani-gashkiidibikak gidaa-gibiiga'aanaan giwaasechiganan.,As it gets dark you should close the curtains on the windows.,"""<ani-gashkiidibikak>""
	""gashkiidibikad"" PVDir/ani VII Cnj Pos Neu 0SgSubj
	""gashkiidibikad"" PVDir/ani VII Cnj Pos Neu 0PlSubj","""<ani-gashkiidibikak>""
	""gashkiidibikad"" PVDir/ani VII Cnj Pos Neu 0SgSubj
	""gashkiidibikad"" PVDir/ani VII Cnj Pos Neu 0PlSubj
""<gidaa-gibiiga'aanaan>""

""<giwaasechiganan>""
	""waasechigan"" NI Pl 2SgPoss
""<.>""
","""<ani-gashkiidibikak>""
	""gashkiidibikad"" PVDir/ani VII Cnj Pos Neu 0SgSubj
	""gashkiidibikad"" PVDir/ani VII Cnj Pos Neu 0PlSubj
""<gidaa-gibiiga'aanaan>""

""<giwaasechiganan>""
	""waasechigan"" NI Pl 2SgPoss
""<.>""
",
Ingii-piidoon ingo-minikwaajigan iwe waasamoo-bimide.,I brought one gallon of gas.,"""<ingo-minikwaajigan>""
	""PNQnt/ingo"" minikwaajigan NI Sg
	""ingo-minikwaajigan"" NUM
	""minikwaajigan"" PVQnt/ingo ADVQnt
""<waasamoo-bimide>""
	""waasamoo-bimide"" NI Sg
	""PNLex/waasamoo"" bimide NI Sg","""<ingii-piidoon>""
	""biidoon"" PVTense/gii VTI Ind Pos Neu 1SgSubj 0SgObj
""<ingo-minikwaajigan>""
	""PNQnt/ingo"" minikwaajigan NI Sg
	""ingo-minikwaajigan"" NUM
	""minikwaajigan"" PVQnt/ingo ADVQnt
""<iwe>""

""<waasamoo-bimide>""
	""waasamoo-bimide"" NI Sg
	""PNLex/waasamoo"" bimide NI Sg
""<.>""
","""<ingii-piidoon>""
	""biidoon"" PVTense/gii VTI Ind Pos Neu 1SgSubj 0SgObj
""<ingo-minikwaajigan>""
	""PNQnt/ingo"" minikwaajigan NI Sg
	""ingo-minikwaajigan"" NUM
	""minikwaajigan"" PVQnt/ingo ADVQnt
""<iwe>""

""<waasamoo-bimide>""
	""waasamoo-bimide"" NI Sg
	""PNLex/waasamoo"" bimide NI Sg
""<.>""
",
Mii go ingoji niiyo-diba'iganeg ashi-aabita bi-waaseyaag.,About four-thirty in the morning it starts to get light.,"""<niiyo-diba'iganeg>""
	""niiyo-diba'igane"" VII Cnj Pos Neu 0SgSubj
	""diba'igane"" PVQnt/niiyo VII Cnj Pos Neu 0SgSubj
	""niiyo-diba'igane"" VII Cnj Pos Neu 0PlSubj
	""diba'igane"" PVQnt/niiyo VII Cnj Pos Neu 0PlSubj
""<bi-waaseyaag>""
	""waaseyaa"" PVDir/bi VII Cnj Pos Neu 0SgSubj
	""waaseyaa"" PVDir/bi VII Cnj Pos Neu 0PlSubj","""<mii>""
	""mii"" ADVPred
""<go>""
	""go"" PCDisc
""<ingoji>""
	""ingoji"" AVDDeg
""<niiyo-diba'iganeg>""
	""niiyo-diba'igane"" VII Cnj Pos Neu 0SgSubj
	""diba'igane"" PVQnt/niiyo VII Cnj Pos Neu 0SgSubj
	""niiyo-diba'igane"" VII Cnj Pos Neu 0PlSubj
	""diba'igane"" PVQnt/niiyo VII Cnj Pos Neu 0PlSubj
""<ashi-aabita>""
	""ashi-aabita"" NUM
""<bi-waaseyaag>""
	""waaseyaa"" PVDir/bi VII Cnj Pos Neu 0SgSubj
	""waaseyaa"" PVDir/bi VII Cnj Pos Neu 0PlSubj
""<.>""
","""<mii>""
	""mii"" ADVPred
""<go>""
	""go"" PCDisc
""<ingoji>""
	""ingoji"" AVDDeg
""<niiyo-diba'iganeg>""
	""niiyo-diba'igane"" VII Cnj Pos Neu 0SgSubj
	""diba'igane"" PVQnt/niiyo VII Cnj Pos Neu 0SgSubj
	""niiyo-diba'igane"" VII Cnj Pos Neu 0PlSubj
	""diba'igane"" PVQnt/niiyo VII Cnj Pos Neu 0PlSubj
""<ashi-aabita>""
	""ashi-aabita"" NUM
""<bi-waaseyaag>""
	""waaseyaa"" PVDir/bi VII Cnj Pos Neu 0SgSubj
	""waaseyaa"" PVDir/bi VII Cnj Pos Neu 0PlSubj
""<.>""
",
Odaanaang bimibatoowan odayan gaa-bimaagonebizod.,The snowmobiler's dog is running behind him.,"""<bimibatoowan>""
	""bimibatoo"" VAI Ind Pos Neu 3PlObvSubj
	""bimibatoo"" VAI Ind Pos Neu 3SgObvSubj
""<odayan>""
	""day"" NAD ObvPl 3SgProxPoss
	""day"" NAD ObvSg 3SgProxPoss
	""ayaan"" VTI Ind Pos Neu 3SgProxSubj 0SgObj","""<odaanaang>""
	""odaanaang"" ADVLoc
""<bimibatoowan>""
	""bimibatoo"" VAI Ind Pos Neu 3PlObvSubj
	""bimibatoo"" VAI Ind Pos Neu 3SgObvSubj
""<odayan>""
	""day"" NAD ObvPl 3SgProxPoss
	""day"" NAD ObvSg 3SgProxPoss
	""ayaan"" VTI Ind Pos Neu 3SgProxSubj 0SgObj
""<gaa-bimaagonebizod>""
	""bimaagonebizo"" PVSub/gaa VAI Cnj Pos Neu 3SgProxSubj
""<.>""
","""<odaanaang>""
	""odaanaang"" ADVLoc
""<bimibatoowan>""
	""bimibatoo"" VAI Ind Pos Neu 3PlObvSubj
	""bimibatoo"" VAI Ind Pos Neu 3SgObvSubj
""<odayan>""
	""day"" NAD ObvPl 3SgProxPoss
	""day"" NAD ObvSg 3SgProxPoss
	""ayaan"" VTI Ind Pos Neu 3SgProxSubj 0SgObj
""<gaa-bimaagonebizod>""
	""bimaagonebizo"" PVSub/gaa VAI Cnj Pos Neu 3SgProxSubj
""<.>""
",
Zhebaa ingii-pi-aazhoge'adoo. Ishkwaa-naawakweg niwii'-ani-aazhoge'adoo.,This morning I came across the bridge. This afternoon I'm going back across the bridge.,"""<ishkwaa-naawakweg>""
	""ishkwaa-naawakwe"" VII Cnj Pos Neu 0SgSubj
	""naawakwe"" PVLex/ishkwaa VII Cnj Pos Neu 0SgSubj
	""ishkwaa-naawakwe"" VII Cnj Pos Neu 0PlSubj
	""naawakwe"" PVLex/ishkwaa VII Cnj Pos Neu 0PlSubj","""<zhebaa>""
	""zhebaa"" ADVTmp
""<ingii-pi-aazhoge'adoo>""
	""PVDir/bi"" PVTense/gii aazhoge'adoo VAI Ind Pos Neu 1SgSubj
""<.>""

""<ishkwaa-naawakweg>""
	""ishkwaa-naawakwe"" VII Cnj Pos Neu 0SgSubj
	""naawakwe"" PVLex/ishkwaa VII Cnj Pos Neu 0SgSubj
	""ishkwaa-naawakwe"" VII Cnj Pos Neu 0PlSubj
	""naawakwe"" PVLex/ishkwaa VII Cnj Pos Neu 0PlSubj
""<niwii'-ani-aazhoge'adoo>""
	""PVDir/ani"" PVTense/wii' aazhoge'adoo VAI Ind Pos Neu 1SgSubj
""<.>""
","""<zhebaa>""
	""zhebaa"" ADVTmp
""<ingii-pi-aazhoge'adoo>""
	""PVDir/bi"" PVTense/gii aazhoge'adoo VAI Ind Pos Neu 1SgSubj
""<.>""

""<ishkwaa-naawakweg>""
	""ishkwaa-naawakwe"" VII Cnj Pos Neu 0SgSubj
	""naawakwe"" PVLex/ishkwaa VII Cnj Pos Neu 0SgSubj
	""ishkwaa-naawakwe"" VII Cnj Pos Neu 0PlSubj
	""naawakwe"" PVLex/ishkwaa VII Cnj Pos Neu 0PlSubj
""<niwii'-ani-aazhoge'adoo>""
	""PVDir/ani"" PVTense/wii' aazhoge'adoo VAI Ind Pos Neu 1SgSubj
""<.>""
",
Ogii-aazhawishimaan ini nabagisagoon omaa daashkikwadininig gaa-onji-aazhawishkaad.,He put the board across the crack in the ice -- that's how he got across.,"""<ogii-aazhawishimaan>""
	""aazhawishim"" PVTense/gii VTA Ind Pos Neu 3SgProxSubj 3SgObvObj
	""aazhawishim"" PVTense/gii VTA Ind Pos Neu 3SgProxSubj 3PlObvObj
""<nabagisagoon>""
	""nabagisag"" NA ObvSg
	""nabagisag"" NA ObvPl
""<daashkikwadininig>""
	""daashkikwadin"" VII Cnj Pos Neu 0PlObvSubj
	""daashkikwadin"" VII Cnj Pos Neu 0SgObvSubj
""<gaa-onji-aazhawishkaad>""
	""PVRel/onji"" PVSub/gaa aazhawishkaa VAI Cnj Pos Neu 3SgProxSubj
	""PVRel/onji"" PVTense/gii aazhawishkaa VAI Pcp Pos Neu 3SgProxSubj 3SgProxHead","""<ogii-aazhawishimaan>""
	""aazhawishim"" PVTense/gii VTA Ind Pos Neu 3SgProxSubj 3SgObvObj
	""aazhawishim"" PVTense/gii VTA Ind Pos Neu 3SgProxSubj 3PlObvObj
""<ini>""

""<nabagisagoon>""
	""nabagisag"" NA ObvSg
	""nabagisag"" NA ObvPl
""<omaa>""
	""omaa"" ADVLoc
""<daashkikwadininig>""
	""daashkikwadin"" VII Cnj Pos Neu 0PlObvSubj
	""daashkikwadin"" VII Cnj Pos Neu 0SgObvSubj
""<gaa-onji-aazhawishkaad>""
	""PVRel/onji"" PVSub/gaa aazhawishkaa VAI Cnj Pos Neu 3SgProxSubj
	""PVRel/onji"" PVTense/gii aazhawishkaa VAI Pcp Pos Neu 3SgProxSubj 3SgProxHead
""<.>""
","""<ogii-aazhawishimaan>""
	""aazhawishim"" PVTense/gii VTA Ind Pos Neu 3SgProxSubj 3SgObvObj
	""aazhawishim"" PVTense/gii VTA Ind Pos Neu 3SgProxSubj 3PlObvObj
""<ini>""

""<nabagisagoon>""
	""nabagisag"" NA ObvSg
	""nabagisag"" NA ObvPl
""<omaa>""
	""omaa"" ADVLoc
""<daashkikwadininig>""
	""daashkikwadin"" VII Cnj Pos Neu 0PlObvSubj
	""daashkikwadin"" VII Cnj Pos Neu 0SgObvSubj
""<gaa-onji-aazhawishkaad>""
	""PVRel/onji"" PVSub/gaa aazhawishkaa VAI Cnj Pos Neu 3SgProxSubj
	""PVRel/onji"" PVTense/gii aazhawishkaa VAI Pcp Pos Neu 3SgProxSubj 3SgProxHead
""<.>""
",
Boozaabikinigan ginigawinan waasigani-bimideng.,Mix the oil into the gas.,"""<ginigawinan>""
	""ginigawinan"" VTI Imp Sim 2SgSubj 0SgObj
	""ginigawinan"" VTI Imp Sim 2SgSubj 0PlObj","""<boozaabikinigan>""
	""boozaabikinigan"" NI Sg
""<ginigawinan>""
	""ginigawinan"" VTI Imp Sim 2SgSubj 0SgObj
	""ginigawinan"" VTI Imp Sim 2SgSubj 0PlObj
""<waasigani-bimideng>""
	""waasigani-bimide"" NI Loc
""<.>""
","""<boozaabikinigan>""
	""boozaabikinigan"" NI Sg
""<ginigawinan>""
	""ginigawinan"" VTI Imp Sim 2SgSubj 0SgObj
	""ginigawinan"" VTI Imp Sim 2SgSubj 0PlObj
""<waasigani-bimideng>""
	""waasigani-bimide"" NI Loc
""<.>""
",
