ojibwe,english,word_with_ambiguity,fst_readings
Gibaakwa'an ishkwaandem iwidi ataasoowigamigong.,Close the door on that shed.,"{'word_form': ""gibaakwa'an"", 'fst_analyses': [""gibaakwa'an+VTI+Imp+Sim+2SgSubj+0SgObj"", ""gibaakwa'an+VTI+Imp+Sim+2SgSubj+0PlObj""]}","[{'word_form': ""gibaakwa'an"", 'fst_analyses': [""gibaakwa'an+VTI+Imp+Sim+2SgSubj+0SgObj"", ""gibaakwa'an+VTI+Imp+Sim+2SgSubj+0PlObj""]}, {'word_form': 'ishkwaandem', 'fst_analyses': ['ishkwaandem+NI+Sg']}, {'word_form': 'iwidi', 'fst_analyses': ['iwidi+ADVLoc']}, {'word_form': 'ataasoowigamigong', 'fst_analyses': ['ataasoowigamig+NI+Loc']}, {'word_form': '.', 'fst_analyses': []}]"
Giizhaa ningii'-noondam wii-pi-gichi-izhiwebak bijiinaago.,I was informed ahead of time that there was a big storm coming our way yesterday.,"{'word_form': 'wii-pi-gichi-izhiwebak', 'fst_analyses': ['PVTense/wii+PVDir/bi+gichi-izhiwebad+VII+Cnj+Pos+Neu+0SgSubj', 'PVTense/wii+PVDir/bi+PVLex/gichi+izhiwebad+VII+Cnj+Pos+Neu+0SgSubj', 'PVTense/wii+PVDir/bi+gichi-izhiwebad+VII+Cnj+Pos+Neu+0PlSubj', 'PVTense/wii+PVDir/bi+PVLex/gichi+izhiwebad+VII+Cnj+Pos+Neu+0PlSubj']}","[{'word_form': 'giizhaa', 'fst_analyses': ['giizhaa+ADVTmp']}, {'word_form': ""ningii'-noondam"", 'fst_analyses': [""PVTense/gii'+noondam+VAI+Ind+Pos+Neu+1SgSubj""]}, {'word_form': 'wii-pi-gichi-izhiwebak', 'fst_analyses': ['PVTense/wii+PVDir/bi+gichi-izhiwebad+VII+Cnj+Pos+Neu+0SgSubj', 'PVTense/wii+PVDir/bi+PVLex/gichi+izhiwebad+VII+Cnj+Pos+Neu+0SgSubj', 'PVTense/wii+PVDir/bi+gichi-izhiwebad+VII+Cnj+Pos+Neu+0PlSubj', 'PVTense/wii+PVDir/bi+PVLex/gichi+izhiwebad+VII+Cnj+Pos+Neu+0PlSubj']}, {'word_form': 'bijiinaago', 'fst_analyses': ['bijiinaago+ADVTmp']}, {'word_form': '.', 'fst_analyses': []}]"
Gii-noondam wii-maawanjii'inding wenji-ozhiitaad iwidi gaye wiin wii-izhaad.,He heard there was an assembly and that's why he's getting ready to go over there.,"{'word_form': 'wiin', 'fst_analyses': ['iiw+NAD+ObvPl+3SgProxPoss', 'iiw+NAD+ObvSg+3SgProxPoss', 'wiin+PRONPer', 'wiin+PCDisc']}","[{'word_form': 'gii-noondam', 'fst_analyses': ['PVTense/gii+noondam+VAI+Ind+Pos+Neu+3SgProxSubj']}, {'word_form': ""wii-maawanjii'inding"", 'fst_analyses': []}, {'word_form': 'wenji-ozhiitaad', 'fst_analyses': ['PVRel/onji+ozhiitaa+VAI+Pcp+Pos+Neu+3SgProxSubj+3SgProxHead']}, {'word_form': 'iwidi', 'fst_analyses': ['iwidi+ADVLoc']}, {'word_form': 'gaye', 'fst_analyses': ['gaye+ADVConj']}, {'word_form': 'wiin', 'fst_analyses': ['iiw+NAD+ObvPl+3SgProxPoss', 'iiw+NAD+ObvSg+3SgProxPoss', 'wiin+PRONPer', 'wiin+PCDisc']}, {'word_form': 'wii-izhaad', 'fst_analyses': ['PVTense/wii+izhaa+VAI+Cnj+Pos+Neu+3SgProxSubj']}, {'word_form': '.', 'fst_analyses': []}]"
Gii-shiigosin giziibiiga'igani-makakosag omaa gaa-ayateg.,The washtub that's been sitting here for a long time finally emptied.,"{'word_form': 'gaa-ayateg', 'fst_analyses': ['PVSub/gaa+ayate+VII+Cnj+Pos+Neu+0SgSubj', 'PVSub/gaa+ayate+VII+Cnj+Pos+Neu+0PlSubj', 'PVTense/gii+ayate+VII+Pcp+Pos+Neu+0SgSubj+0SgHead']}","[{'word_form': 'gii-shiigosin', 'fst_analyses': []}, {'word_form': ""giziibiiga'igani-makakosag"", 'fst_analyses': [""giziibiiga'igani-makakosag+NI+Sg""]}, {'word_form': 'omaa', 'fst_analyses': ['omaa+ADVLoc']}, {'word_form': 'gaa-ayateg', 'fst_analyses': ['PVSub/gaa+ayate+VII+Cnj+Pos+Neu+0SgSubj', 'PVSub/gaa+ayate+VII+Cnj+Pos+Neu+0PlSubj', 'PVTense/gii+ayate+VII+Pcp+Pos+Neu+0SgSubj+0SgHead']}, {'word_form': '.', 'fst_analyses': []}]"
Aaniin da naa aapidakamig ezhiwebak.,Why in the hell is this happening?,"{'word_form': 'aaniin', 'fst_analyses': ['aaniin+PCInterj', 'aaniin+ADVInter']}","[{'word_form': 'aaniin', 'fst_analyses': ['aaniin+PCInterj', 'aaniin+ADVInter']}, {'word_form': 'da', 'fst_analyses': []}, {'word_form': 'naa', 'fst_analyses': ['naa+PCEmph']}, {'word_form': 'aapidakamig', 'fst_analyses': []}, {'word_form': 'ezhiwebak', 'fst_analyses': ['izhiwebad+VII+Pcp+Pos+Neu+0SgSubj+0SgHead']}, {'word_form': '.', 'fst_analyses': []}]"
Aaniin ezhiwebak agwajiing?,What's it like outside?,"{'word_form': 'aaniin', 'fst_analyses': ['aaniin+PCInterj', 'aaniin+ADVInter']}","[{'word_form': 'aaniin', 'fst_analyses': ['aaniin+PCInterj', 'aaniin+ADVInter']}, {'word_form': 'ezhiwebak', 'fst_analyses': ['izhiwebad+VII+Pcp+Pos+Neu+0SgSubj+0SgHead']}, {'word_form': 'agwajiing', 'fst_analyses': ['agwajiing+ADVLoc']}, {'word_form': '?', 'fst_analyses': []}]"
Gagwanisagakamig naa gaa-izhiwebak.,What happened was completely unexpected.,"{'word_form': 'gaa-izhiwebak', 'fst_analyses': ['PVSub/gaa+izhiwebad+VII+Cnj+Pos+Neu+0SgSubj', 'PVSub/gaa+izhiwebad+VII+Cnj+Pos+Neu+0PlSubj', 'PVTense/gii+izhiwebad+VII+Pcp+Pos+Neu+0SgSubj+0SgHead']}","[{'word_form': 'gagwanisagakamig', 'fst_analyses': []}, {'word_form': 'naa', 'fst_analyses': ['naa+PCEmph']}, {'word_form': 'gaa-izhiwebak', 'fst_analyses': ['PVSub/gaa+izhiwebad+VII+Cnj+Pos+Neu+0SgSubj', 'PVSub/gaa+izhiwebad+VII+Cnj+Pos+Neu+0PlSubj', 'PVTense/gii+izhiwebad+VII+Pcp+Pos+Neu+0SgSubj+0SgHead']}, {'word_form': '.', 'fst_analyses': []}]"
Babaamaadodan gaa-izhiwebak.,Spread the news around about what happened.,"{'word_form': 'gaa-izhiwebak', 'fst_analyses': ['PVSub/gaa+izhiwebad+VII+Cnj+Pos+Neu+0SgSubj', 'PVSub/gaa+izhiwebad+VII+Cnj+Pos+Neu+0PlSubj', 'PVTense/gii+izhiwebad+VII+Pcp+Pos+Neu+0SgSubj+0SgHead']}","[{'word_form': 'babaamaadodan', 'fst_analyses': []}, {'word_form': 'gaa-izhiwebak', 'fst_analyses': ['PVSub/gaa+izhiwebad+VII+Cnj+Pos+Neu+0SgSubj', 'PVSub/gaa+izhiwebad+VII+Cnj+Pos+Neu+0PlSubj', 'PVTense/gii+izhiwebad+VII+Pcp+Pos+Neu+0SgSubj+0SgHead']}, {'word_form': '.', 'fst_analyses': []}]"
Ondendam 'i gaa-izhiwebadinig bijiinaago.,It kind of irked him what happened to him yesterday.,"{'word_form': 'gaa-izhiwebadinig', 'fst_analyses': ['PVSub/gaa+izhiwebad+VII+Cnj+Pos+Neu+0PlObvSubj', 'PVSub/gaa+izhiwebad+VII+Cnj+Pos+Neu+0SgObvSubj', 'PVTense/gii+izhiwebad+VII+Pcp+Pos+Neu+0SgObvSubj+0SgObvHead']}","[{'word_form': 'ondendam', 'fst_analyses': []}, {'word_form': ""'i"", 'fst_analyses': []}, {'word_form': 'gaa-izhiwebadinig', 'fst_analyses': ['PVSub/gaa+izhiwebad+VII+Cnj+Pos+Neu+0PlObvSubj', 'PVSub/gaa+izhiwebad+VII+Cnj+Pos+Neu+0SgObvSubj', 'PVTense/gii+izhiwebad+VII+Pcp+Pos+Neu+0SgObvSubj+0SgObvHead']}, {'word_form': 'bijiinaago', 'fst_analyses': ['bijiinaago+ADVTmp']}, {'word_form': '.', 'fst_analyses': []}]"
Odazhiikawaan odasabiin. Omegwaa-bagwa'waan.,He's working on his nets. He's mending them.,"{'word_form': 'odazhiikawaan', 'fst_analyses': ['dazhiikaw+VTA+Ind+Pos+Neu+3SgProxSubj+3SgObvObj', 'dazhiikaw+VTA+Ind+Pos+Neu+3SgProxSubj+3PlObvObj']}","[{'word_form': 'odazhiikawaan', 'fst_analyses': ['dazhiikaw+VTA+Ind+Pos+Neu+3SgProxSubj+3SgObvObj', 'dazhiikaw+VTA+Ind+Pos+Neu+3SgProxSubj+3PlObvObj']}, {'word_form': 'odasabiin', 'fst_analyses': ['odasabii+VAI+Imp+Sim+2SgSubj', 'asab+NA+ObvSg+3SgProxPoss', 'asab+NA+ObvPl+3SgProxPoss']}, {'word_form': '.', 'fst_analyses': []}, {'word_form': ""omegwaa-bagwa'waan"", 'fst_analyses': [""PVLex/megwaa+bagwa'wi+VTA+Ind+Pos+Neu+3SgProxSubj+3SgObvObj"", ""PVLex/megwaa+bagwa'+VTA+Ind+Pos+Neu+3SgProxSubj+3SgObvObj"", ""PVLex/megwaa+bagwa'wi+VTA+Ind+Pos+Neu+3SgProxSubj+3PlObvObj"", ""PVLex/megwaa+bagwa'+VTA+Ind+Pos+Neu+3SgProxSubj+3PlObvObj""]}, {'word_form': '.', 'fst_analyses': []}]"
Atoobaaning ngii-siiginaamin i'iw ozhiga'iganaaboo gii-naadoobiiyaan ani-onaagoshig.,We poured the sugar water into the tank when we gathered the sap in the evening.,"{'word_form': 'atoobaaning', 'fst_analyses': ['atoobaan+NA+Loc', 'atoobaan+NI+Loc']}","[{'word_form': 'atoobaaning', 'fst_analyses': ['atoobaan+NA+Loc', 'atoobaan+NI+Loc']}, {'word_form': 'ngii-siiginaamin', 'fst_analyses': ['PVTense/gii+ziiginan+VTI+Ind+Pos+Neu+ExclSubj+0SgObj', 'PVTense/gii+ziiginan+VTI+Ind+Pos+Neu+ExclSubj+0PlObj']}, {'word_form': ""i'iw"", 'fst_analyses': [""i'iw+PRONDem""]}, {'word_form': ""ozhiga'iganaaboo"", 'fst_analyses': []}, {'word_form': 'gii-naadoobiiyaan', 'fst_analyses': ['PVTense/gii+naadoobii+VAI+Cnj+Pos+Neu+1SgSubj']}, {'word_form': 'ani-onaagoshig', 'fst_analyses': ['PVDir/ani+onaagoshin+VII+Cnj+Pos+Neu+0SgSubj', 'PVDir/ani+onaagoshin+VII+Cnj+Pos+Neu+0PlSubj']}, {'word_form': '.', 'fst_analyses': []}]"
Mii iwidi a... ategin biinichiganan anaamaya'ii atoobaaning.,The cleaning stuff is under the sink.,"{'word_form': 'atoobaaning', 'fst_analyses': ['atoobaan+NA+Loc', 'atoobaan+NI+Loc']}","[{'word_form': 'mii', 'fst_analyses': ['mii+ADVPred']}, {'word_form': 'iwidi', 'fst_analyses': ['iwidi+ADVLoc']}, {'word_form': 'a..', 'fst_analyses': []}, {'word_form': '.', 'fst_analyses': []}, {'word_form': 'ategin', 'fst_analyses': ['ate+VII+Cnj+Pos+Neu+0PlSubj']}, {'word_form': 'biinichiganan', 'fst_analyses': []}, {'word_form': ""anaamaya'ii"", 'fst_analyses': [""anaamaya'ii+ADVLoc""]}, {'word_form': 'atoobaaning', 'fst_analyses': ['atoobaan+NA+Loc', 'atoobaan+NI+Loc']}, {'word_form': '.', 'fst_analyses': []}]"
Weweni go izhinaagozi a'aw atoobaan.,That radiator looks good.,"{'word_form': 'atoobaan', 'fst_analyses': ['atoobaan+NA+ProxSg', 'atoobaan+NI+Sg']}","[{'word_form': 'weweni', 'fst_analyses': ['weweni+ADVMan']}, {'word_form': 'go', 'fst_analyses': ['go+PCDisc']}, {'word_form': 'izhinaagozi', 'fst_analyses': ['izhinaagozi+VAI+Ind+Pos+Neu+3SgProxSubj']}, {'word_form': ""a'aw"", 'fst_analyses': [""a'aw+PRONDem""]}, {'word_form': 'atoobaan', 'fst_analyses': ['atoobaan+NA+ProxSg', 'atoobaan+NI+Sg']}, {'word_form': '.', 'fst_analyses': []}]"
Gii-sagakisijige awe indikwem gaa-ishkwaakamigak.,My wife straightened up the place after the party was over.,"{'word_form': 'gaa-ishkwaakamigak', 'fst_analyses': ['PVSub/gaa+ishkwaakamigad+VII+Cnj+Pos+Neu+0SgSubj', 'PVSub/gaa+ishkwaakamigad+VII+Cnj+Pos+Neu+0PlSubj', 'PVTense/gii+ishkwaakamigad+VII+Pcp+Pos+Neu+0SgSubj+0SgHead']}","[{'word_form': 'gii-sagakisijige', 'fst_analyses': ['PVTense/gii+zagakisijige+VAI+Ind+Pos+Neu+3SgProxSubj']}, {'word_form': 'awe', 'fst_analyses': []}, {'word_form': 'indikwem', 'fst_analyses': ['ikwe+NA+Poss+ProxSg+1SgPoss']}, {'word_form': 'gaa-ishkwaakamigak', 'fst_analyses': ['PVSub/gaa+ishkwaakamigad+VII+Cnj+Pos+Neu+0SgSubj', 'PVSub/gaa+ishkwaakamigad+VII+Cnj+Pos+Neu+0PlSubj', 'PVTense/gii+ishkwaakamigad+VII+Pcp+Pos+Neu+0SgSubj+0SgHead']}, {'word_form': '.', 'fst_analyses': []}]"
Naanaagadawaabam ezhichiged.,Watch and analyze what she's doing.,"{'word_form': 'naanaagadawaabam', 'fst_analyses': ['naanaagadawaabam+VTA+Imp+Sim+2SgSubj+3SgProxObj', 'naanaagadawaabam+VTA+Imp+Sim+2SgSubj+3PlProxObj']}","[{'word_form': 'naanaagadawaabam', 'fst_analyses': ['naanaagadawaabam+VTA+Imp+Sim+2SgSubj+3SgProxObj', 'naanaagadawaabam+VTA+Imp+Sim+2SgSubj+3PlProxObj']}, {'word_form': 'ezhichiged', 'fst_analyses': ['izhichige+VAI+Pcp+Pos+Neu+3SgProxSubj+3SgProxHead']}, {'word_form': '.', 'fst_analyses': []}]"
Ganabaj aanind biskanechigaansag jaagizowag wenji-maazhibideg 'iw odaabaan.,I think some of the spark plugs are burning out and that's why the car doesn't run right.,"{'word_form': 'odaabaan', 'fst_analyses': ['odaabaan+NA+ProxSg', 'odaabaan+NI+Sg']}","[{'word_form': 'ganabaj', 'fst_analyses': ['ganabaj+ADVMan']}, {'word_form': 'aanind', 'fst_analyses': ['aanind+ADVQnt']}, {'word_form': 'biskanechigaansag', 'fst_analyses': []}, {'word_form': 'jaagizowag', 'fst_analyses': ['jaagizo+VAI+Ind+Pos+Neu+3PlProxSubj']}, {'word_form': 'wenji-maazhibideg', 'fst_analyses': ['PVRel/onji+maazhibide+VII+Pcp+Pos+Neu+0SgSubj+0SgHead']}, {'word_form': ""'iw"", 'fst_analyses': []}, {'word_form': 'odaabaan', 'fst_analyses': ['odaabaan+NA+ProxSg', 'odaabaan+NI+Sg']}, {'word_form': '.', 'fst_analyses': []}]"
Aanind eta go gii'-ando-bagizowag gii-ani-onaagoshig.,Only some of them went swimming in the evening.,"{'word_form': 'gii-ani-onaagoshig', 'fst_analyses': ['PVTense/gii+PVDir/ani+onaagoshin+VII+Cnj+Pos+Neu+0SgSubj', 'PVTense/gii+PVDir/ani+onaagoshin+VII+Cnj+Pos+Neu+0PlSubj']}","[{'word_form': 'aanind', 'fst_analyses': ['aanind+ADVQnt']}, {'word_form': 'eta', 'fst_analyses': ['eta+AVDDeg']}, {'word_form': 'go', 'fst_analyses': ['go+PCDisc']}, {'word_form': ""gii'-ando-bagizowag"", 'fst_analyses': [""PVTense/gii'+PVLex/ando+bagizo+VAI+Ind+Pos+Neu+3PlProxSubj""]}, {'word_form': 'gii-ani-onaagoshig', 'fst_analyses': ['PVTense/gii+PVDir/ani+onaagoshin+VII+Cnj+Pos+Neu+0SgSubj', 'PVTense/gii+PVDir/ani+onaagoshin+VII+Cnj+Pos+Neu+0PlSubj']}, {'word_form': '.', 'fst_analyses': []}]"
Aanind gaawiin gegoo omaa atesinoon gey-aabajitooyangoban.,Some of the things we're supposed to be using are missing.,"{'word_form': 'atesinoon', 'fst_analyses': ['ate+VII+Ind+Neg+Neu+0PlSubj', 'ate+VII+Ind+Neg+Neu+0SgSubj']}","[{'word_form': 'aanind', 'fst_analyses': ['aanind+ADVQnt']}, {'word_form': 'gaawiin', 'fst_analyses': ['gaawiin+ADVNeg']}, {'word_form': 'gegoo', 'fst_analyses': ['gegoo+PRONIndf']}, {'word_form': 'omaa', 'fst_analyses': ['omaa+ADVLoc']}, {'word_form': 'atesinoon', 'fst_analyses': ['ate+VII+Ind+Neg+Neu+0PlSubj', 'ate+VII+Ind+Neg+Neu+0SgSubj']}, {'word_form': 'gey-aabajitooyangoban', 'fst_analyses': []}, {'word_form': '.', 'fst_analyses': []}]"
Aaniin dash enagoodood.,How is he hanging it?,"{'word_form': 'aaniin', 'fst_analyses': ['aaniin+PCInterj', 'aaniin+ADVInter']}","[{'word_form': 'aaniin', 'fst_analyses': ['aaniin+PCInterj', 'aaniin+ADVInter']}, {'word_form': 'dash', 'fst_analyses': ['dash+ADVConj']}, {'word_form': 'enagoodood', 'fst_analyses': []}, {'word_form': '.', 'fst_analyses': []}]"
Ingii-andomaag igiw abinoojiinyag  ji-bi-odaminowaad.,I called the children to come and play.,"{'word_form': 'ji-bi-odaminowaad', 'fst_analyses': ['PVTense/daa+PVDir/bi+odamino+VAI+Cnj+Pos+Neu+3PlProxSubj', 'PVTense/ga+PVDir/bi+odamino+VAI+Cnj+Pos+Neu+3PlProxSubj']}","[{'word_form': 'ingii-andomaag', 'fst_analyses': []}, {'word_form': 'igiw', 'fst_analyses': ['igiw+PRONDem']}, {'word_form': 'abinoojiinyag', 'fst_analyses': ['abinoojiinh+NA+ProxPl']}, {'word_form': 'ji-bi-odaminowaad', 'fst_analyses': ['PVTense/daa+PVDir/bi+odamino+VAI+Cnj+Pos+Neu+3PlProxSubj', 'PVTense/ga+PVDir/bi+odamino+VAI+Cnj+Pos+Neu+3PlProxSubj']}, {'word_form': '.', 'fst_analyses': []}]"
Mii iniw gaa-andawenimaad ji-bi-gaagiigidonid gaa-onji-andomaad.,That's the person she wanted to come and speak -- so that's why she asked him to come over.,"{'word_form': 'ji-bi-gaagiigidonid', 'fst_analyses': ['PVTense/daa+PVDir/bi+gaagiigido+VAI+Cnj+Pos+Neu+3PlObvSubj', 'PVTense/ga+PVDir/bi+gaagiigido+VAI+Cnj+Pos+Neu+3PlObvSubj', 'PVTense/daa+PVDir/bi+gaagiigido+VAI+Cnj+Pos+Neu+3SgObvSubj', 'PVTense/ga+PVDir/bi+gaagiigido+VAI+Cnj+Pos+Neu+3SgObvSubj']}","[{'word_form': 'mii', 'fst_analyses': ['mii+ADVPred']}, {'word_form': 'iniw', 'fst_analyses': ['iniw+PRONDem']}, {'word_form': 'gaa-andawenimaad', 'fst_analyses': []}, {'word_form': 'ji-bi-gaagiigidonid', 'fst_analyses': ['PVTense/daa+PVDir/bi+gaagiigido+VAI+Cnj+Pos+Neu+3PlObvSubj', 'PVTense/ga+PVDir/bi+gaagiigido+VAI+Cnj+Pos+Neu+3PlObvSubj', 'PVTense/daa+PVDir/bi+gaagiigido+VAI+Cnj+Pos+Neu+3SgObvSubj', 'PVTense/ga+PVDir/bi+gaagiigido+VAI+Cnj+Pos+Neu+3SgObvSubj']}, {'word_form': 'gaa-onji-andomaad', 'fst_analyses': []}, {'word_form': '.', 'fst_analyses': []}]"
Gego indawaaj andomaaken awe. Maji-mashkiki 'a eta go ogikendaan.,Don't call on him. He only knows bad medicine.,"{'word_form': 'maji-mashkiki', 'fst_analyses': ['maji-mashkiki+NI+Sg', 'PNLex/maji+mashkiki+NI+Sg']}","[{'word_form': 'gego', 'fst_analyses': ['gego+ADVNeg']}, {'word_form': 'indawaaj', 'fst_analyses': ['indawaaj+ADVMan']}, {'word_form': 'andomaaken', 'fst_analyses': []}, {'word_form': 'awe', 'fst_analyses': []}, {'word_form': '.', 'fst_analyses': []}, {'word_form': 'maji-mashkiki', 'fst_analyses': ['maji-mashkiki+NI+Sg', 'PNLex/maji+mashkiki+NI+Sg']}, {'word_form': ""'a"", 'fst_analyses': [""'a+PRONDem""]}, {'word_form': 'eta', 'fst_analyses': ['eta+AVDDeg']}, {'word_form': 'go', 'fst_analyses': ['go+PCDisc']}, {'word_form': 'ogikendaan', 'fst_analyses': ['gikendan+VTI+Ind+Pos+Neu+3SgProxSubj+0SgObj']}, {'word_form': '.', 'fst_analyses': []}]"
Bijiinaago ningii-kinisinaa'ogomin agaami-zaaga'igan onzaam gii'-mamaangaashkaa.,We got stranded across the lake yesterday because the waves were too big.,"{'word_form': ""agaami-zaaga'igan"", 'fst_analyses': [""PNLex/agaami+zaaga'igan+NI+Sg"", ""agaami-zaaga'igan+ADVLoc""]}","[{'word_form': 'bijiinaago', 'fst_analyses': ['bijiinaago+ADVTmp']}, {'word_form': ""ningii-kinisinaa'ogomin"", 'fst_analyses': [""PVTense/gii+ginisinaa'ogo+VAI+Ind+Pos+Neu+ExclSubj""]}, {'word_form': ""agaami-zaaga'igan"", 'fst_analyses': [""PNLex/agaami+zaaga'igan+NI+Sg"", ""agaami-zaaga'igan+ADVLoc""]}, {'word_form': 'onzaam', 'fst_analyses': ['onzaam+ADVQnt']}, {'word_form': ""gii'-mamaangaashkaa"", 'fst_analyses': [""PVTense/gii'+mamaangaashkaa+VII+Ind+Pos+Neu+0SgSubj""]}, {'word_form': '.', 'fst_analyses': []}]"
Baamaa waabang giga-bi-naazikawin.,Wait until tomorrow  and I'll come and get you then.,"{'word_form': 'waabang', 'fst_analyses': ['waaban+VII+Cnj+Pos+Neu+0SgSubj', 'waaban+VII+Cnj+Pos+Neu+0PlSubj']}","[{'word_form': 'baamaa', 'fst_analyses': ['baamaa+ADVTmp']}, {'word_form': 'waabang', 'fst_analyses': ['waaban+VII+Cnj+Pos+Neu+0SgSubj', 'waaban+VII+Cnj+Pos+Neu+0PlSubj']}, {'word_form': 'giga-bi-naazikawin', 'fst_analyses': ['PVTense/ga+PVDir/bi+naazikaw+VTA+Ind+Pos+Neu+1SgSubj+2SgObj']}, {'word_form': '.', 'fst_analyses': []}]"
Naagaj baamaa giga-dazhiikaamin.,We'll work on it later.,"{'word_form': 'giga-dazhiikaamin', 'fst_analyses': ['PVTense/ga+dazhiikan+VTI+Ind+Pos+Neu+InclSubj+0SgObj', 'PVTense/ga+dazhiikan+VTI+Ind+Pos+Neu+InclSubj+0PlObj']}","[{'word_form': 'naagaj', 'fst_analyses': ['naagaj+ADVQnt']}, {'word_form': 'baamaa', 'fst_analyses': ['baamaa+ADVTmp']}, {'word_form': 'giga-dazhiikaamin', 'fst_analyses': ['PVTense/ga+dazhiikan+VTI+Ind+Pos+Neu+InclSubj+0SgObj', 'PVTense/ga+dazhiikan+VTI+Ind+Pos+Neu+InclSubj+0PlObj']}, {'word_form': '.', 'fst_analyses': []}]"
John wii-ni-giiwebizo noongom ishkwaa-naawakwenig.,John is going to drive home in the afternoon.,"{'word_form': 'ishkwaa-naawakwenig', 'fst_analyses': ['ishkwaa-naawakwe+VII+Cnj+Pos+Neu+0PlObvSubj', 'PVLex/ishkwaa+naawakwe+VII+Cnj+Pos+Neu+0PlObvSubj', 'ishkwaa-naawakwe+VII+Cnj+Pos+Neu+0SgObvSubj', 'PVLex/ishkwaa+naawakwe+VII+Cnj+Pos+Neu+0SgObvSubj']}","[{'word_form': 'john', 'fst_analyses': []}, {'word_form': 'wii-ni-giiwebizo', 'fst_analyses': ['PVTense/wii+PVDir/ni+giiwebizo+VAI+Ind+Pos+Neu+3SgProxSubj']}, {'word_form': 'noongom', 'fst_analyses': ['noongom+ADVTmp']}, {'word_form': 'ishkwaa-naawakwenig', 'fst_analyses': ['ishkwaa-naawakwe+VII+Cnj+Pos+Neu+0PlObvSubj', 'PVLex/ishkwaa+naawakwe+VII+Cnj+Pos+Neu+0PlObvSubj', 'ishkwaa-naawakwe+VII+Cnj+Pos+Neu+0SgObvSubj', 'PVLex/ishkwaa+naawakwe+VII+Cnj+Pos+Neu+0SgObvSubj']}, {'word_form': '.', 'fst_analyses': []}]"
Inoo'amaw inakeya'ii ge-izhi-onabid.,Point out to her where she should sit.,"{'word_form': ""inoo'amaw"", 'fst_analyses': [""inoo'amaw+VTA+Imp+Sim+2SgSubj+3SgProxObj"", ""inoo'amaw+VTA+Imp+Sim+2SgSubj+3PlProxObj""]}","[{'word_form': ""inoo'amaw"", 'fst_analyses': [""inoo'amaw+VTA+Imp+Sim+2SgSubj+3SgProxObj"", ""inoo'amaw+VTA+Imp+Sim+2SgSubj+3PlProxObj""]}, {'word_form': ""inakeya'ii"", 'fst_analyses': [""inakeya'ii+AVDDeg""]}, {'word_form': 'ge-izhi-onabid', 'fst_analyses': []}, {'word_form': '.', 'fst_analyses': []}]"
Indaga maajinizha'an iwe maajiibii'igan.,Please post that letter.,"{'word_form': ""maajinizha'an"", 'fst_analyses': [""maajinizha'an+VTI+Imp+Sim+2SgSubj+0SgObj"", ""maajinizha'an+VTI+Imp+Sim+2SgSubj+0PlObj""]}","[{'word_form': 'indaga', 'fst_analyses': ['indaga+PCDisc']}, {'word_form': ""maajinizha'an"", 'fst_analyses': [""maajinizha'an+VTI+Imp+Sim+2SgSubj+0SgObj"", ""maajinizha'an+VTI+Imp+Sim+2SgSubj+0PlObj""]}, {'word_form': 'iwe', 'fst_analyses': []}, {'word_form': ""maajiibii'igan"", 'fst_analyses': [""maajiibii'igan+NI+Sg""]}, {'word_form': '.', 'fst_analyses': []}]"
Ingii-sanagi'ig awe gaa-maajiidood indoodaabaan.,The person who took my car made things very difficut for me.,"{'word_form': 'gaa-maajiidood', 'fst_analyses': ['PVSub/gaa+maajiidoon+VTI+Cnj+Pos+Neu+3SgProxSubj+0SgObj', 'PVSub/gaa+maajiidoon+VTI+Cnj+Pos+Neu+3SgProxSubj+0PlObj']}","[{'word_form': ""ingii-sanagi'ig"", 'fst_analyses': [""PVTense/gii+zanagi'+VTA+Ind+Pos+Neu+3SgProxSubj+1SgObj""]}, {'word_form': 'awe', 'fst_analyses': []}, {'word_form': 'gaa-maajiidood', 'fst_analyses': ['PVSub/gaa+maajiidoon+VTI+Cnj+Pos+Neu+3SgProxSubj+0SgObj', 'PVSub/gaa+maajiidoon+VTI+Cnj+Pos+Neu+3SgProxSubj+0PlObj']}, {'word_form': 'indoodaabaan', 'fst_analyses': ['odaabaan+NA+ProxSg+1SgPoss', 'odaabaan+NI+Sg+1SgPoss']}, {'word_form': '.', 'fst_analyses': []}]"
